INSTNM,SATVR75,SATWR75,SATMT75,mn_earn_wne_p10,CITY
University of California-Berkeley,710,720,750,,Berkeley
Emory University,710,730,750,,Atlanta
Webb Institute,700,,750,,Glen Cove
COOPER UNION FOR THE ADVANCEMENT OF SCIENCE & ART,700,,750,,NEW YORK
Rensselaer Polytechnic Institute,700,680,750,81500,Troy
Rensselaer Polytechnic Institute,700,685,750,,Troy
Case Western Reserve University,700,700,750,,Cleveland
University of Rochester,700,700,750,,Rochester
University of Michigan-Ann Arbor,700,720,750,72000,Ann Arbor
University of Michigan-Ann Arbor,690,710,750,,Ann Arbor
Georgia Institute of Technology-Main Campus,680,670,750,,Atlanta
WEBB INSTITUTE,670,,750,,GLEN COVE
Rose-Hulman Institute of Technology,670,,750,,Terre Haute
University of Illinois at Urbana-Champaign,660,,750,,Champaign
CORNELL UNIVERSITY-ENDOWED COLLEGES,660,,750,,ITHACA
University of Wisconsin-Madison,650,670,750,,Madison
University of Michigan-Flint,628,,750,,Flint
Carleton College,760,,740,,Northfield
Haverford College,760,,740,,Haverford
Claremont McKenna College,760,720,740,75700,Claremont
Carleton College,760,750,740,52800,Northfield
UNIVERSITY OF CHICAGO,750,,740,,CHICAGO
Georgetown University,750,,740,,Washington
Wesleyan University,750,,740,,Middletown
BROWN UNIVERSITY,750,,740,,PROVIDENCE
WESLEYAN UNIVERSITY,750,,740,,MIDDLETOWN
Georgetown University,750,,740,112400,Washington
MIDDLEBURY COLLEGE,750,,740,,MIDDLEBURY
Wesleyan University,750,,740,,Middletown
Georgetown University,750,,740,,Washington
Carleton College,750,730,740,57000,Northfield
Middlebury College,750,730,740,,Middlebury
Tufts University,750,740,740,81600,Medford
Wesleyan University,750,740,740,,Middletown
Carleton College,750,740,740,,Northfield
Haverford College,750,750,740,64700,Haverford
Carleton College,750,750,740,,Northfield
Vassar College,750,750,740,,Poughkeepsie
Haverford College,750,750,740,,Haverford
Bowdoin College,750,760,740,67100,Brunswick
Tufts University,740,,740,,Medford
University of Notre Dame,740,,740,,Notre Dame
Claremont McKenna College,740,,740,,Claremont
Vanderbilt University,740,730,740,82600,Nashville
Washington and Lee University,740,730,740,,Lexington
Washington and Lee University,740,730,740,89600,Lexington
Washington and Lee University,740,730,740,,Lexington
Wesleyan University,740,740,740,62800,Middletown
Middlebury College,740,740,740,,Middlebury
Tufts University,740,740,740,,Medford
Hamilton College,740,740,740,,Clinton
Middlebury College,740,740,740,64000,Middlebury
Haverford College,740,750,740,,Haverford
Haverford College,740,750,740,57400,Haverford
Wellesley College,740,750,740,,Wellesley
Wesleyan University,740,750,740,62100,Middletown
Middlebury College,740,750,740,81100,Middlebury
Middlebury College,740,750,740,,Middlebury
Wesleyan University,740,750,740,,Middletown
Wellesley College,740,750,740,,Wellesley
Wesleyan University,740,750,740,,Middletown
Middlebury College,740,750,740,,Middlebury
Middlebury College,740,760,740,,Middlebury
UNIVERSITY OF NOTRE DAME,730,,740,,NOTRE DAME
TUFTS UNIVERSITY,730,,740,,MEDFORD
Emory University,730,,740,79900,Atlanta
WASHINGTON UNIVERSITY IN ST LOUIS,730,,740,,ST LOUIS
Emory University,730,,740,,Atlanta
Emory University,730,730,740,,Atlanta
Hamilton College,730,730,740,,Clinton
Middlebury College,730,740,740,69900,Middlebury
Emory University,720,,740,,Atlanta
Vanderbilt University,720,,740,,Nashville
EMORY UNIVERSITY,720,,740,,ATLANTA
Brandeis University,720,,740,,Waltham
EMORY UNIVERSITY,720,,740,,ATLANTA
UNIVERSITY OF NOTRE DAME,720,,740,,NOTRE DAME
EMORY UNIVERSITY,720,,740,,ATLANTA
Colgate University,720,,740,,Hamilton
Vanderbilt University,720,,740,,Nashville
Colgate University,720,,740,,Hamilton
Northeastern University,720,710,740,,Boston
University of Virginia-Main Campus,720,720,740,74400,Charlottesville
University of Southern California,720,720,740,75200,Los Angeles
University of Southern California,720,720,740,,Los Angeles
University of Virginia-Main Campus,720,720,740,,Charlottesville
New York University,720,730,740,76800,New York
University of Virginia-Main Campus,720,730,740,,Charlottesville
New York University,720,730,740,,New York
University of California-Berkeley,710,,740,,Berkeley
UNIVERSITY OF CALIFORNIA-BERKELEY,710,,740,,BERKELEY
WEBB INSTITUTE,710,,740,,GLEN COVE
University of California-Berkeley,710,,740,,Berkeley
University of California-Berkeley,710,710,740,78200,Berkeley
Brandeis University,710,710,740,,Waltham
New York University,710,720,740,,New York
Brandeis University,710,720,740,70000,Waltham
University of Virginia-Main Campus,710,720,740,,Charlottesville
University of Southern California,710,730,740,74400,Los Angeles
Boston College,710,730,740,,Chestnut Hill
New York University,710,730,740,,New York
Boston College,710,730,740,,Chestnut Hill
Case Western Reserve University,700,,740,,Cleveland
UNIVERSITY OF CALIFORNIA-BERKELEY,700,,740,,BERKELEY
UNIVERSITY OF CALIFORNIA-BERKELEY,700,,740,,BERKELEY
UNIVERSITY OF CALIFORNIA-BERKELEY,700,,740,,BERKELEY
UNIVERSITY OF MICHIGAN-ANN ARBOR,700,,740,,ANN ARBOR
Case Western Reserve University,700,690,740,76700,Cleveland
Case Western Reserve University,700,690,740,77400,Cleveland
University of Rochester,700,700,740,74300,Rochester
University of Rochester,700,700,740,,Rochester
RANDOLPH-MACON COLLEGE,695,,740,,ASHLAND
GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS,690,,740,,ATLANTA
University of Michigan-Ann Arbor,690,,740,,Ann Arbor
ILLINOIS INSTITUTE OF TECHNOLOGY,690,,740,,CHICAGO
University of Michigan-Ann Arbor,690,,740,70800,Ann Arbor
University of Minnesota-Twin Cities,690,670,740,54000,Minneapolis
University of Minnesota-Twin Cities,690,670,740,,Minneapolis
University of Minnesota-Twin Cities,690,670,740,,Minneapolis
Georgia Institute of Technology-Main Campus,690,690,740,78800,Atlanta
University of California-Los Angeles,690,710,740,,Los Angeles
Rensselaer Polytechnic Institute,680,660,740,,Troy
Babson College,680,700,740,107300,Wellesley
University of California-Los Angeles,680,710,740,70200,Los Angeles
Rose-Hulman Institute of Technology,670,,740,,Terre Haute
Illinois Wesleyan University,670,,740,62100,Bloomington
University of Illinois at Urbana-Champaign,670,,740,68500,Champaign
Lehigh University,670,,740,,Bethlehem
Illinois Institute of Technology,670,650,740,,Chicago
University of Wisconsin-Madison,670,670,740,59900,Madison
University of Wisconsin-Madison,670,680,740,,Madison
Polytechnic Institute of New York University,660,650,740,,Brooklyn
Illinois Institute of Technology,640,640,740,,Chicago
Illinois Wesleyan University,620,,740,,Bloomington
BETHEL COLLEGE,672,,739,,MCKENZIE
BETHEL COLLEGE,725,,737,,MCKENZIE
WILLIAM JEWELL COLLEGE,747,,733,,LIBERTY
Grinnell College,760,,730,,Grinnell
Wellesley College,750,,730,,Wellesley
CARLETON COLLEGE,750,,730,,NORTHFIELD
CARLETON COLLEGE,750,,730,,NORTHFIELD
Grinnell College,750,,730,,Grinnell
Bowdoin College,750,,730,,Brunswick
Wellesley College,750,730,730,69800,Wellesley
Wesleyan University,750,730,730,72200,Middletown
Haverford College,740,,730,,Haverford
MIDDLEBURY COLLEGE,740,,730,,MIDDLEBURY
WESLEYAN UNIVERSITY,740,,730,,MIDDLETOWN
Hamilton College,740,,730,72300,Clinton
GEORGETOWN UNIVERSITY,740,,730,,WASHINGTON
WESLEYAN UNIVERSITY,740,,730,,MIDDLETOWN
Grinnell College,740,,730,,Grinnell
Washington and Lee University,740,720,730,,Lexington
Macalester College,740,720,730,,Saint Paul
Bowdoin College,740,730,730,71200,Brunswick
Washington and Lee University,740,730,730,100100,Lexington
Hamilton College,740,730,730,,Clinton
Hamilton College,740,730,730,70700,Clinton
Wellesley College,740,740,730,63700,Wellesley
Vassar College,740,750,730,53800,Poughkeepsie
Vassar College,740,750,730,,Poughkeepsie
